code,title,professor,link,id,term,identifier
AFRAMER 11,Introduction to African Studies 001,Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b2599b5651407aa017df7078d3d5f9dbb03fa8bd812fc661a4f6849fe24989659e7cee22769b84e2502d5855381b6227&ReportType=2&regl=en-US,FAS-123591-2228-1-1-001,f2022,AFRAMER 11_Introduction to African Studies 001(Agbiboa)_f2022
AFRAMER 20,Introduction to African Languages and Cultures 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4ae87dfd97d1bc3d00ab4cbae1654c96591569d4e8adaffc642b8ea57920ea1d9c11b526fc36687bfd128407c03eb131&ReportType=2&regl=en-US,FAS-118883-2228-1-1-001,f2022,AFRAMER 20_Introduction to African Languages and Cultures 001(Mugane)_f2022
AFRAMER 115Y,Introduction to African Popular Culture LEC,Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e0669963be317c149f6ccacfac6b97afd59e0be50e296de380d313f98cb596c2be1633df9e523957d03002dfd0dbdf4b&ReportType=2&regl=en-US,FAS-218819-2228-1-1-LEC,f2022,AFRAMER 115Y_Introduction to African Popular Culture LEC(Ogene)_f2022
AFRAMER 174X,African Architecture 001,Blier,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6630c09d5022057e1e03aa6f4b45d54aaa8b9a24ef2c631c6dc61795d8f79a1c3264636d4b6766733ed8c98f7d7e1069&ReportType=2&regl=en-US,FAS-122496-2228-1-1-001,f2022,AFRAMER 174X_African Architecture 001(Blier)_f2022
AFRAMER 184X,Jim Crow: Histories and Revivals 001,Eatmon,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=689534a3dc14945855e23a639ce8a191b42005ccb3c97621538885835c60da9994456311660693e0ea9b7d821c1e4f46&ReportType=2&regl=en-US,FAS-220490-2228-1-1-001,f2022,AFRAMER 184X_Jim Crow: Histories and Revivals 001(Eatmon)_f2022
AFRAMER 215X,Black Literary Avant-Gardes 001,McCarthy,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2d2df76ebf600650fa1d6567e6674591f0623b01781987acecf8e9a5b8343c3160e310fda1a3de5fb90ea08cbdfe2608&ReportType=2&regl=en-US,FAS-220164-2228-1-1-001,f2022,AFRAMER 215X_Black Literary Avant-Gardes 001(McCarthy)_f2022
ANTHRO 98A,Junior Tutorial in Anthropology 001,Liebmann,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=405ed3c7aba938a7ef94669f6c472ed3c4f234d2f1320889f8e711c8614856582a6d9f62b99ab1bcbe11c9cdfca694db&ReportType=2&regl=en-US,FAS-205494-2228-1-1-001,f2022,ANTHRO 98A_Junior Tutorial in Anthropology 001(Liebmann)_f2022
ANTHRO 99A,Thesis Tutorial in Anthropology - Senior Year 001,Liebmann,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=287988da6fd67d168056fafd6a94b3b229584f1daee07d10775edfe18d6992396692ed8948ca00aeff16bb61b5330ba3&ReportType=2&regl=en-US,FAS-205184-2228-1-1-001,f2022,ANTHRO 99A_Thesis Tutorial in Anthropology - Senior Year 001(Liebmann)_f2022
ANTHRO 1224,Hacker Culture and Politics 001,Coleman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=66edbb76c50d0f79256f12ef2485c994645dd230d75201f4a5e20482dca3763df2d86e6323dc27e99ad883f5b915c0ce&ReportType=2&regl=en-US,FAS-220175-2228-1-1-001,f2022,ANTHRO 1224_Hacker Culture and Politics 001(Coleman)_f2022
ANTHRO 1250,"The Pyramids of Giza: Technology, Archaeology, History 001",Manuelian,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fd404aa3a9d28a67a876d76e39d71f3a48000459dd11fa842bfbf58e727065086ceb58444bfb2653472e0e6bc7cdc259&ReportType=2&regl=en-US,FAS-127050-2228-1-1-001,f2022,"ANTHRO 1250_The Pyramids of Giza: Technology, Archaeology, History 001(Manuelian)_f2022"
